Pierś obrońcy lasu,93,19,2
Kurta wielkiego mąciciela,93,19,2
Płaszcz jesiennego zamierania,93,19,2
Pancerz soczystej zieleni,93,19,2
Otulina czerwieniejących liści,93,19,2
Ochrona kozich rogów,93,19,2
Karmazynowa peleryna,95,20,1
Wibrująca ochrona pohańbionych,96,20,1
Korona Margorii,95,20,1
Esencja umysłu asasyna,95,20,1
Torfowa jurność stróża,95,20,1
Buty nocnego wędrowca,95,20,1
Moc leśnych ziół,90,19,2
Protekcja świeżego igliwia,90,19,2
Łapy dokarmiacza grzybni,90,19,2
Groźba strażnika fauny,90,19,2
Piąstki opiekuna flory,90,19,2
Żywotność leśnego runa,90,19,2
Skinięcie Yang,90,19,2
Skinięcie Yin,90,19,2
Dłonie Wysokiego Yokai,90,19,2
Prawo Pięści Funayurei,90,19,2
Rękawice Pięciu Przemian,90,19,2
Łapy Ośmiu Trygramów,90,19,2
Strzelające palce leszego,92,19,1
Zaręczynowy pierścionek arystokratki,93,19,1
Oko pijanego proroctwa,93,19,1
Obrączka Różanity,93,19,1
Symbol Wszelkich Przekształceń,90,19,2
Emanująca duma urgrapów,99,20,1
Mistyczny wisior volmatów,99,20,1
Maska oszalałej wdowy,100,20,2
Maska porażającej niegodziwości,101,20,3
Lodowe złoto,106,21,1
Złota łza słońca,101,20,3
Płaszcz perskiego księcia,111,21,2
Galaretowate oblicze,118,22,1
Bitewna przyłbica królowej,118,22,1
Korona potępionej królowej,118,22,1
Bacowe dreptoki,111,21,2
Filcoki ślebody,111,21,2
Rękawice Syna Pustyni,115,22,2
Sygnet wielkiego umiłowania,111,21,1
Alfa Centauri,117,22,2
Delta Centauri,117,22,2
Epsilon Centauri,117,22,2
Proxima Centauri,117,22,2
Gwiazda Poranna,117,22,2
Gwiazda Wieczorna,117,22,2
Trofeum z mantikory,128,23,1
Korona Burkoga Lorulka,128,23,1
Buciska morskich symfonii,120,22,1
Koralowce,120,22,1
Złote cholewy wyznawcy,128,23,1
Potęga wiary Nikantosa,123,22,1
Bransolety krwistego oka,123,22,1
Magiczna moc aguti,123,22,1
Koralowe cążki kraba,120,22,1
Oślizgły jamochłon,120,22,1
Ostre szczypce pustelnika,120,22,1
Całuśny ukwiał,120,22,1
Sygnet dumnego rodu,129,23,2
Otok porzuconych kopalni,129,23,2
Pierścień smoczej choroby,129,23,2
Płonący majestat gadziny,128,23,1
Korona Potępieńca,135,24,1
Karminowe przebudzenie,135,24,1
Przebudzone ślepia demona,132,23,1
Pamiątka praorczej dynastii,132,23,1
Krwawe buty Foduga Zolasha,132,23,1
Stalowe buty Amuno,132,23,1
Mechaniczne buty Goonsa,139,24,1
Palce Otchłani,132,23,1
Potęga Foduga Zolasha,132,23,1
Krwawa perła berserkera,139,24,1
Amulet twórcy piekieł,131,23,3
Przenośny portal,132,23,1
Klejnot butnego dowódcy,132,23,1
Bojowy hełm przywódcy,149,25,2
Defensywa pana twierdzy,144,24,1
Magiczne kalosznice,144,24,2
Kopyta Mantikory,144,24,2
Buty z czarnej hydry,144,24,2
